Gene ARP4 Amikacin Amp Antimycin Ascididemin_Nat_prod BZA CCCP CPZ Cap Cephalexin Cerulenin Clofazimine Clotrimazole DCCD DIPED DNP DTNB DTT Deferoxamine Dipyridyl EMB Econazole Eta GSNO GSNO_CFZ GSNO_CPZ GSNO_KCN GSNO_menadione H2O2 INH KCN Levo Min_med__succinate_ Mtm NRP_1 NaN3 Nam Nigericin Novobiocin Oflox PA_1 PA_21 PA824 PZA Palmitate Procept_6776 Procept_6778 Rif Rifp Rox SM Succinate TLM TRC TRZ Tet UV Valinomycin Verapamil ZnSO4 menadione mercaptoethanol methoxatin
Rv0001 -0.581372258 -0.147459774 0.548735372 1.001137114 0.816475496 -0.08689115 -3.21386001 0.258330645 0.115498299 0.037109798 0.388293902 0.754564457 0.643108442 -2.445422792 0.535715675 -2.27398517 0.682992449 -2.181468022 0.752463613 1.09238497 0.232812803 0.68316341 -0.430883677 1.15146998 1.729172291 -0.234226948 -1.518830668 0.106970886 -0.0911775 -0.601033681 -1.702348512 0.182056429 2.472635486 0.145178341 -0.252762542 -0.2960157 -0.02473336 1.097447731 -0.359057846 0.149138846 0.337890002 0.342881851 -0.729933708 -0.062258953 0.370954714 -1.767067793 -0.348599132 -0.528186126 -0.017355178 -0.389950921 0.057065035 0.558348758 0.067640509 -1.366589007 -1.219673841 -1.928342303 0.222636197 -0.403312328 0.910293618 1.584668676 -0.308604103 0.352814996 1.126120806
Rv0002 -1.555384307 0.386044242 0.046125098 -0.06681665 -0.61799157 0.365741257 -0.977754459 -1.425045544 1.082699303 0.114681007 0.643318605 -1.800444607 0.214780524 -0.313662539 0.250069634 -1.50804431 -0.288288199 -1.144416247 0.447853871 -0.103435977 0.543730252 -0.314559179 0.228192185 0.00436657 -1.875018362 -1.354260625 -1.944437339 -1.274268408 0.550203421 0.74055475 -1.536805447 0.352776615 1.511739785 0.311672438 -1.252722082 -0.629077272 0.602923986 0.267793869 -1.267292235 0.293962882 -1.102579182 -1.369314978 -1.317889803 0.547727889 -0.522746601 -0.804991295 0.037223465 0.491882188 0.639308272 2.592133089 0.400422241 -0.334701666 0.21229297 0.230879344 -0.58653268 1.054651262 0.6434288 0.186931123 0.112110688 0.294067138 -1.276843004 -0.369888901 -0.528725675
Rv0003 0.744576624 0.242590807 -0.208714435 0.183285977 -0.525112689 0.262117538 -0.252453304 -0.588668347 1.475048319 0.423005146 0.094242562 1.308309971 0.376898379 0.187735601 0.186196841 0.459365337 -1.649730302 -0.645623343 0.144722342 0.162451548 -0.432383385 0.035926304 -0.563198713 1.358249753 0.62106419 -1.14380441 0.49572194 -0.108655633 -0.314230293 -0.058262736 0 0.019761855 0 -0.034091582 1.753863088 0 0.270471186 -1.763105313 -0.233750231 0.421039055 -0.839681185 -0.500651158 0.071993425 0.469020057 0.488323806 -0.133845167 0.318220857 0.265861614 -0.394292836 2.481771731 1.121586738 0.617457147 -0.251676721 -0.393828102 -2.232117871 0.482847069 0.003833043 -1.343478034 -0.66248214 0 -2.153104547 -1.129166929 -0.234330747
Rv0005 -0.521259757 -1.899421608 0.514701972 -0.186952145 0.538155178 -0.06332121 -0.442851194 0.24226748 -1.945193977 0.442760905 0.608909466 0 0.598944091 0 0.186388292 0 -0.101616717 -0.128960046 0.418964355 0.208153848 -0.036360082 0.775386353 0.903064795 0.698309037 0 0.236763755 -1.404557177 -0.171835434 -0.270308479 1.157538451 0 0.491109838 0 0.11931977 -0.220021042 0 0.419527444 -0.726740575 -0.8394699 1.165643456 0.664049294 0.596370808 -0.664467237 0.278201903 0 0.79166009 0.326928764 -1.356280226 -0.20187683 -2.4613894 0.32210871 0 0.897474718 -1.257489497 0 -4.407090542 0.287379202 -0.680130359 -0.178146087 0 -0.191611692 -0.291963794 -0.112627839
Rv0006 -0.720042023 -2.019630728 0.067670611 0.087590565 0.328291974 -0.236989293 -0.888953747 1.098674966 -3.160054296 0.371713334 0.372378459 1.096426892 0.845601008 0.389997861 -0.460097632 -1.010103568 -0.533495005 -0.178083384 0.12730211 0.53898797 -0.104143241 0.631291383 0.059829255 -0.165743587 0.347883509 1.09196991 0.767454013 0.511262036 0.164945233 0.299434689 -0.368414281 -0.016921697 -0.621919104 0.504554687 -1.606633514 0.203511417 0.237725833 -0.029639514 2.261019893 0.319469422 0.586212537 0.456628451 -0.125198682 0.531300041 -0.578552668 0.523700383 0.393891534 -0.805635381 -0.571181656 -3.39142267 -0.461268756 -0.180615648 0.250089038 -0.865914649 -0.121288997 -2.044024806 0.446609433 -0.58146725 -0.107946957 0.18204092 0.136438403 -0.044877495 -0.200122838
Rv0007 -1.299877164 0.086678742 0.230977618 -0.311428487 -0.244247214 0.537981423 -1.338250661 0.008616495 -0.279671179 0.169676679 0.557313519 -0.059540314 -0.046924171 0.467117307 0.964365267 -1.509791813 -0.610567537 -1.063067365 0.318487612 0.317675893 0.451772323 0.311375673 0.767792449 -0.590340041 -0.699712479 -0.227100283 -1.344803274 -0.288955615 0.132897539 0.8027797 -1.307511421 0.550576359 -1.49963915 -0.008790974 -1.744945223 -0.64329762 0.808229383 0.232659478 1.923837824 0.416149293 -0.190510501 -0.197031437 -1.297215608 0.645207764 -1.159663399 0.490865401 0.296880174 0.118538334 0.344845272 -0.64136008 -0.056482697 -0.665661113 0.476323815 -0.347617067 -0.918945225 -2.274767995 0.335994521 -2.018930351 -0.259656214 0.630738858 -1.795494293 -0.646117051 -0.41339226
Rv0008c 0.360949507 0.864521725 0.273614873 0.076117523 -0.184597842 -0.041938438 -0.38083357 -0.504142822 2.056158932 0.194036336 0.73569754 -1.482976867 -0.641172435 -1.494072171 -0.682374384 -0.187317644 -0.239877781 -0.611684401 -0.158463859 -0.565815969 0.179303239 -0.609730495 0.075934766 -0.080419132 -0.667987883 -0.680425675 -1.71086706 0.153903459 0.913364862 -0.243700232 -1.654757304 0.393934012 0.194010095 0.527271649 0.974435177 -1.028338499 0.421836106 0.201474328 -2.570308317 1.02734091 -0.566613591 -0.021568387 -0.088358011 0.275977853 0.783834569 -1.307734744 -1.088352654 -0.594490306 0.706814933 1.568906371 -0.066001969 -0.045886531 0.172550005 -0.275805842 0.469686224 1.477249515 0.401975529 1.483386783 -0.077523027 -0.567161275 -0.195518727 -0.050404997 0.151550333
Rv0009 -1.719311648 0.225037986 0.787328424 0.677785237 -1.107482087 0.207150022 -0.79908693 -0.910242875 0.080110213 0.41621099 0.928925373 -1.554693996 0.253110243 -2.661853093 0.743116496 -1.379441849 0.676108778 -0.049001613 0.510454841 -1.064473621 0.703653818 0.440760589 1.094944209 0.901205721 -0.93892183 -1.458396931 -0.121602937 0.285425142 -0.355476603 1.136275531 -1.829119521 0.192862514 0.389855068 0.70891502 0.276245146 0.31022416 0.153450982 0.878817744 -1.09963104 0.836495247 0.413176182 0.562810613 -1.025201199 0.143732616 0.778339261 -0.510269401 0.198504233 -1.415052638 -0.042713016 0.013650777 0.647777649 0.583217851 0.813328791 -0.896257432 -1.848834162 -1.141556459 0.980469024 -1.439992383 0.595474567 0.725470881 0.173642251 0.931508373 0.850054378
Rv0010c -0.211696997 0.241583898 -0.089007761 0.070226073 -0.354386221 0.205378624 -2.250197481 -0.716347005 -0.552351618 0.099314439 0.548010148 -1.482761285 -0.473333975 1.01153914 0.423401962 -2.274975432 -0.249683216 -1.278395369 0.316045259 -0.067438455 0.247349345 -0.03981063 -0.125494233 0.060239111 0.604747499 -0.870656264 -0.117360593 -1.215523025 0.302296305 0.344284657 2.632443967 0.085559766 -0.644418084 0.678036057 0.118000171 -0.527127539 0.581238066 -0.497283183 -1.531124356 -0.14481564 -0.473567736 -0.328688002 1.083003102 0.288430882 -0.228444507 0.496062928 0.715333477 0.85853449 -0.08376338 -0.216318329 0.636905069 -0.448382345 -0.755595524 -0.356137741 -1.918263962 0.89290545 0.487111595 -0.194740406 0.002848533 0.410310035 -1.016393909 -0.261308906 0.062061025
Rv0011c -0.674952705 1.53002721 0.259357661 0.091589023 0.111290173 -0.721173154 -1.21314186 -0.78115618 2.60386184 -0.454998782 0.805087295 -0.463491984 0.041225158 0.485235979 -0.034845858 -0.343704296 -0.024257848 0.694854219 0.611269156 0.03186231 0.384005998 -0.189303509 0.077867163 0.275698056 -0.204424906 -0.416527786 0.113250799 0.365276333 -0.530510421 0.284614971 1.991747122 -0.104087987 1.479481671 0.498696601 -0.239405802 -0.277187399 -0.433032163 1.199028665 -1.226584009 0.099385067 0.03638998 0.285862967 0.484976113 -1.092784743 0.16477751 -0.205955347 0.057024532 -1.877672754 -0.411632512 1.424834541 0.847881814 -0.401330496 0.182062177 -0.766641736 -1.121725262 0.559287947 0.429985383 1.865979072 0.950293332 0.813933889 1.005288831 -0.288879082 0.416251097
