Gene	Function
Rv0001	II.A
Rv0002	II.A
Rv0003	II.A
Rv0004	V
Rv0005	II.A
Rv0006	II.A
Rv0007	V
Rv0008c	VI
Rv0009	II.A
Rv0010c	VI
Rv0011c	VI
Rv0012	III.C
Rv0013	I.G
Rv0014c	I.J
Rv0015c	I.J
Rv0016c	II.C
Rv0017c	II.C
Rv0018c	I.J
Rv0019c	V
Rv0020c	V
Rv0021c	V
Rv0022c	V
Rv0023	I.J
Rv0024	IV.A
Rv0025	V
Rv0026	V
Rv0027	V
Rv0028	VI
Rv0029	V
Rv0030	VI
Rv0031	V
Rv0032	I.G
Rv0033	I.H
Rv0034	VI
Rv0035	I.A
Rv0036c	V
Rv0037c	II.C
Rv0038	V
Rv0039c	V
Rv0040c	V
Rv0041	II.A
Rv0042c	V
Rv0043c	I.J
Rv0044c	I.B
Rv0045c	I.H
Rv0046c	V
Rv0047c	V
Rv0048c	VI
Rv0049	VI
Rv0050	II.C
Rv0051	II.C
Rv0052	V
Rv0053	II.A
Rv0054	II.A
Rv0055	II.A
Rv0056	II.A
Rv0057	VI
Rv0058	II.A
Rv0059	VI
Rv0060	VI
Rv0061	VI
Rv0062	II.B
Rv0063	I.B
Rv0064	II.C
Rv0065	V
Rv0066c	I.B
Rv0067c	I.J
Rv0068	I.B
Rv0069c	I.C
Rv0070c	I.D
Rv0071	II.A
Rv0072	II.C
Rv0073	II.C
Rv0074	V
Rv0075	IV.H
Rv0076c	II.C
Rv0077c	I.B
Rv0078	I.J
Rv0079	VI
Rv0080	VI
Rv0081	I.J
Rv0082	I.B
Rv0083	I.B
Rv0084	I.B
Rv0085	I.B
Rv0086	I.B
Rv0087	I.B
Rv0088	VI
Rv0089	I.G
Rv0090	VI
Rv0091	V
Rv0092	III.A
Rv0093c	VI
Rv0094c	IV.B
Rv0095c	IV.B
Rv0096	IV.C
Rv0097	V
Rv0098	VI
Rv0099	I.A
Rv0100	VI
Rv0101	I.I
Rv0102	II.C
Rv0103c	III.A
Rv0104	VI
Rv0105c	II.A
Rv0106	V
Rv0107c	III.A
Rv0108c	VI
Rv0109	IV.C
Rv0110	II.C
Rv0111	IV.H
Rv0112	II.C
Rv0113	II.C
Rv0114	I.D
Rv0115	V
Rv0116c	V
Rv0117	I.J
Rv0118c	I.A
Rv0119	I.A
Rv0120c	II.A
Rv0121c	VI
Rv0122	VI
Rv0123	VI
Rv0124	IV.C
Rv0125	II.B
Rv0126	II.A
Rv0127	V
Rv0128	VI
Rv0129c	I.H
Rv0130	V
Rv0131c	I.A
Rv0132c	I.B
Rv0133	IV.D
Rv0134	III.F
Rv0135c	I.J
Rv0136	IV.F
Rv0137c	I.B
Rv0138	V
Rv0139	I.B
Rv0140	V
Rv0141c	VI
Rv0142	VI
Rv0143c	III.A
Rv0144	I.J
Rv0145	V
Rv0146	V
Rv0147	I.B
Rv0148	I.B
Rv0149	I.B
Rv0150c	V
Rv0151c	IV.C
Rv0152c	IV.C
Rv0153c	I.J
Rv0154c	I.A
Rv0155	I.C
Rv0156	I.C
Rv0157	I.C
Rv0158	I.J
Rv0159c	IV.C
Rv0160c	IV.C
Rv0161	I.B
Rv0162c	I.B
Rv0163	I.B
Rv0164	V
Rv0165c	I.J
Rv0166	I.A
Rv0167	IV.A
Rv0168	IV.A
Rv0169	IV.A
Rv0170	IV.A
Rv0171	IV.A
Rv0172	IV.A
Rv0173	II.C
Rv0174	IV.A
Rv0175	V
Rv0176	V
Rv0177	V
Rv0178	V
Rv0179c	II.C
Rv0180c	II.C
Rv0181c	V
Rv0182c	II.A
Rv0183	I.B
Rv0184	V
Rv0185	V
Rv0186	I.A
Rv0187	IV.H
Rv0188	IV.H
Rv0189c	I.D
Rv0190	V
Rv0191	II.C
Rv0192	V
Rv0193c	VI
Rv0194	II.C
Rv0195	I.J
Rv0196	I.J
Rv0197	V
Rv0198c	II.B
Rv0199	V
Rv0200	II.C
Rv0201c	V
Rv0202c	II.C
Rv0203	VI
Rv0204c	II.C
Rv0205	II.C
Rv0206c	II.C
Rv0207c	V
Rv0208c	V
Rv0209	VI
Rv0210	VI
Rv0211	I.C
Rv0212c	I.J
Rv0213c	IV.H
Rv0214	I.A
Rv0215c	I.A
Rv0216	V
Rv0217c	II.B
Rv0218	I.B
Rv0219	VI
Rv0220	II.B
Rv0221	V
Rv0222	I.A
Rv0223c	I.B
Rv0224c	IV.H
Rv0225	II.C
Rv0226c	II.C
Rv0227c	II.C
Rv0228	IV.H
Rv0229c	V
Rv0230c	V
Rv0231	I.A
Rv0232	I.J
