#Gene	Name	AJ	BL6	BL6a	BXD01	BXD010	BXD011	BXD03	BXD04	BXD05	BXD06	BXD07	BXD08	BXD09	Bibs02	Bibs02c	CAST	CCcont	DS01	DS02	DS03	DS04	DS0c	Ethambutol0	Ethambutol25	Ethambutol3	GMCSF	GP01	GP0c	IFNab	IFNg	IFNg-GMCSF1	IL1	Isoniazid0	Isoniazid02	Isoniazid025	MHC_d9	NOD	NZO	PWK	PonA1	Rapamycin	Rifampicin0	Rifampicin4	Rv0950ko	Rv1096ko	Rv2680_day0	Rv2680_day32	Rv3684ko	Tcell	Trans01	Trans01c	Trans02c	Trans03	Trans03c	Trans05	Trans05c	Trans07	Trans07c	Trans09	Trans09c	Trans11	Trans11c	Vancomycin0	Vancomycin16	acetate	cholesterol	delta_Rv3594	delta_Rv3717	delta_Rv3811	glycerol	macrophage_input	macrophage_unactivated	secA2_input	uber_invitro
Rv0001	dnaA	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.999950	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000
Rv0002	dnaN	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.999850	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000
Rv0003	recF	0.995100	0.000050	0.000100	0.000050	0.982050	0.000000	0.000050	0.288950	0.835950	0.006600	0.000000	0.000050	0.000000	0.218450	0.999000	0.036300	0.000050	0.000000	0.000000	0.998950	0.988000	0.991950	0.000000	0.000000	0.000000	0.984200	0.000050	0.000000	0.000000	0.144150	0.000100	0.049950	0.000000	0.000000	0.000000	0.000200	0.996300	0.497400	0.068800	0.000050	0.296500	0.000000	0.000000	0.000000	0.000000	0.854350	0.937600	0.000000	0.006750	0.000300	0.000000	0.000050	0.998350	0.000000	0.000000	0.000000	0.000050	0.000000	0.000050	0.000000	0.996700	0.000050	0.000000	0.000000	0.000050	0.000050	0.000000	0.000000	0.000000	0.000000	0.000000	0.000050	0.971850	0.000000
Rv0004	-	0.996300	0.975350	0.998750	0.996450	0.987650	0.995900	0.988250	0.994900	0.996300	0.996400	0.996800	0.996650	0.997550	0.981400	0.986050	0.985600	0.988600	0.997600	0.993100	0.957250	0.977450	0.994700	0.997950	0.998150	0.997500	0.993600	0.923950	0.955650	0.994800	0.990350	0.994450	0.995250	0.998350	0.998250	0.997900	0.986050	0.971550	0.991700	0.995100	0.992050	0.994350	0.998350	0.999450	1.000000	0.999900	0.969750	0.955450	0.999700	0.995500	0.965550	0.995400	0.974050	0.995950	0.997750	0.952050	0.999600	0.995600	0.999650	0.948150	0.993200	0.958600	0.995450	0.998400	0.999950	0.979650	0.996050	0.231600	0.997700	0.155800	0.990100	0.997250	0.997800	0.937250	0.484700
Rv0005	gyrB	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000
Rv0006	gyrA	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000
Rv0007	-	0.000000	0.507550	0.000000	0.000000	0.988800	0.000000	0.947400	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.001900	0.000000	0.998900	0.000000	0.000000	0.244700	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.377800	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.846700	0.496850	0.000000	0.599950	0.996250	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.490450	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.629650	0.000000	0.000000	0.000000	0.685450	0.000000	0.000000	0.702300	0.000000
Rv0008c	-	0.000000	0.000000	0.000000	0.000000	0.000350	0.000550	0.000100	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000350	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.956150	0.954900	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000050	0.000000	0.000000	0.000450	0.000000	0.000000
Rv0009	ppiA	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Rv0010c	-	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Rv0011c	-	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000
Rv0012	-	0.000000	0.108800	0.005300	0.000000	0.347300	0.003550	0.000350	0.973750	0.003550	0.000000	0.271500	0.754800	0.292100	0.000000	0.000000	0.034200	0.000000	0.000000	0.000000	0.000000	0.002200	0.029850	0.000000	0.000000	0.000000	0.203150	0.103450	0.000000	0.002450	0.002500	0.005400	0.000000	0.000000	0.000000	0.000000	0.000000	0.025750	0.000000	0.000000	0.000000	0.003600	0.000000	0.000000	0.000000	0.000000	0.000000	0.000050	0.000000	0.762400	0.000000	0.000000	0.104100	0.000000	0.000000	0.583850	0.000000	0.003850	0.009800	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.004200	0.000000	0.000000
